City,State,Cost of Living Index,lat,lon
Abilene,TX,89.1,32.4487364,-99.7331439
Akron,OH,89.4,41.081444700000006,-81.51900529999999
Albany,GA,87.3,31.5785074,-84.155741
Albany,OR,105.4,44.6365107,-123.1059282
Albany,NY,100.1,42.65257929999999,-73.7562317
Albuquerque,NM,92.9,35.0853336,-106.6055534
Alexandria,LA,86.2,31.3112936,-92.4451371
Allentown,PA,98.9,40.6084305,-75.4901833
Altoona,PA,90.8,40.5186809,-78.3947359
Amarillo,TX,88.2,35.2219971,-101.8312969
Ames,IA,91.5,42.034722,-93.62
Anchorage,AK,110.7,61.2180556,-149.90027780000003
Ann Arbor,MI,99.3,42.2808256,-83.7430378
Appleton,WI,90.7,44.2619309,-88.4153847
Asheville,NC,103.3,35.5950581,-82.5514869
Atlanta,GA,100.3,33.7489954,-84.3879824
Atlantic City,NJ,102.0,39.3642834,-74.4229266
Auburn,AL,91.9,32.6098566,-85.48078249999999
Austin,TX,106.6,30.267153000000004,-97.7430608
Bakersfield,CA,102.9,35.3732921,-119.0187125
Baltimore,MD,107.0,39.2903848,-76.6121893
Barnstable Town,MA,122.4,41.7003208,-70.3002024
Baton Rouge,LA,91.1,30.4582829,-91.1403196
Battle Creek,MI,85.9,42.32115220000001,-85.17971419999999
Beaumont,TX,88.6,30.080174,-94.1265562
Bellingham,WA,111.6,48.74908,-122.4781473
Bend,OR,115.9,44.0581728,-121.3153096
Billings,MT,95.7,45.783285600000006,-108.5006904
Binghamton,NY,93.3,42.0986867,-75.9179738
Birmingham,AL,90.7,33.5206608,-86.80249
Bismarck,ND,93.1,46.8083268,-100.7837392
Blacksburg,VA,94.5,37.2295733,-80.4139393
Bloomington,IN,92.4,39.165325,-86.5263857
Boise City,ID,100.3,43.6187102,-116.2146068
Boston,MA,132.6,42.3600825,-71.0588801
Boulder,CO,118.7,40.0149856,-105.2705456
Bowling Green,KY,87.0,36.9685219,-86.48080429999999
Bozeman,MT,125.3,45.6769979,-111.0429339
Bremerton,WA,115.0,47.567320200000005,-122.6329356
Brownsville,TX,87.8,25.9017472,-97.4974838
Buffalo,NY,97.3,42.8864468,-78.8783689
Burlington,NC,91.8,36.0956918,-79.43779909999999
Burlington,VT,112.8,44.4758825,-73.21207199999999
Canton,OH,88.2,40.7989473,-81.378447
Cape Girardeau,MO,88.1,37.3058839,-89.51814759999999
Carson City,NV,103.0,39.1637984,-119.7674034
Casper,WY,94.2,42.866632,-106.313081
Cedar Rapids,IA,88.1,41.9778795,-91.6656232
Champaign,IL,89.0,40.1164204,-88.2433829
Charleston,WV,83.9,38.3498195,-81.6326234
Charleston,SC,101.7,32.776474900000004,-79.9310512
Charlotte,NC,97.9,35.2270869,-80.8431267
Charlottesville,VA,102.1,38.0293059,-78.4766781
Chattanooga,TN,91.2,35.0456297,-85.3096801
Cheyenne,WY,96.9,41.1399814,-104.8202462
Chicago,IL,100.1,41.8781136,-87.62979820000001
Chico,CA,110.5,39.7284944,-121.8374777
Cincinnati,OH,92.4,39.1031182,-84.5120196
Clarksville,TN,88.7,36.5297706,-87.3594528
Cleveland,TN,89.5,35.1595182,-84.8766115
Cleveland,OH,90.0,41.49932,-81.6943605
Coeur d'Alene,ID,103.3,47.6776832,-116.7804664
College Station,TX,92.3,30.627977,-96.3344068
Colorado Springs,CO,102.2,38.8338816,-104.8213634
Columbia,MO,89.8,38.95170529999999,-92.3340724
Columbia,SC,91.9,34.0007104,-81.0348144
Columbus,GA,88.5,32.4609764,-84.9877094
Columbus,IN,89.1,39.2014404,-85.9213796
Columbus,OH,93.9,39.9611755,-82.9987942
Concord,NH,108.3,43.2081366,-71.5375718
Corpus Christi,TX,93.3,27.8005828,-97.396381
Corvallis,OR,110.6,44.5645659,-123.2620435
Danville,VA,87.1,36.5859718,-79.3950228
Dayton,OH,88.4,39.7589478,-84.1916069
Decatur,AL,88.6,34.6059253,-86.9833417
Decatur,IL,84.9,39.84031470000001,-88.9548001
Denver,CO,112.1,39.7392358,-104.990251
Des Moines,IA,91.7,41.6005448,-93.6091064
Detroit,MI,93.2,42.331427000000005,-83.0457538
Dothan,AL,86.3,31.2232313,-85.39048879999999
Dover,DE,101.3,39.158168,-75.5243682
Dubuque,IA,89.6,42.5005583,-90.6645718
Duluth,MN,93.2,46.7866719,-92.1004852
Durham,NC,99.8,35.99403289999999,-78.898619
Eau Claire,WI,91.8,44.811349,-91.4984941
El Centro,CA,102.3,32.792,-115.5630514
El Paso,TX,88.6,31.7775757,-106.4424559
Elkhart,IN,88.5,41.6819935,-85.9766671
Enid,OK,82.9,36.3955891,-97.8783911
Erie,PA,91.8,42.1292241,-80.085059
Eugene,OR,108.4,44.0520691,-123.08675359999998
Evansville,IN,87.2,37.9715592,-87.5710898
Fargo,ND,91.4,46.8771863,-96.7898034
Farmington,NM,88.4,36.7280583,-108.2186856
Fayetteville,NC,89.5,35.0526641,-78.87835849999999
Fayetteville,AR,90.4,36.0625795,-94.1574263
Findlay,OH,91.1,41.04422,-83.6499321
Flagstaff,AZ,108.5,35.1982836,-111.651302
Flint,MI,85.7,43.0125274,-83.6874562
Florence,SC,87.7,34.1954331,-79.7625625
Florence,AL,86.8,34.79981,-87.677251
Fond du Lac,WI,88.0,43.7730448,-88.44705079999999
Fort Collins,CO,109.2,40.5852602,-105.084423
Fort Smith,AR,84.2,35.385924200000005,-94.3985475
Fort Wayne,IN,86.8,41.079273,-85.13935129999999
Fresno,CA,105.9,36.7468422,-119.7725868
Gainesville,FL,97.3,29.6516344,-82.3248262
Grand Forks,ND,90.7,47.9252568,-97.0328547
Grand Island,NE,88.8,40.92639570000001,-98.3420118
Grand Junction,CO,98.1,39.0638705,-108.5506486
Grand Rapids,MI,93.7,42.9633599,-85.6680863
Great Falls,MT,91.1,47.4941836,-111.2833449
Greeley,CO,106.1,40.42331420000001,-104.7091322
Green Bay,WI,91.4,44.519159,-88.019826
Greensboro,NC,91.0,36.0726354,-79.79197540000001
Greenville,NC,89.8,35.612661,-77.3663538
Greenville,SC,95.0,34.8526176,-82.3940104
Gulfport,MS,86.8,30.367419800000004,-89.0928155
Hanford,CA,105.4,36.3274502,-119.6456844
Harrisburg,PA,95.8,40.273191100000005,-76.88670079999999
Harrisonburg,VA,95.5,38.4495688,-78.8689155
Hartford,CT,104.8,41.7637111,-72.6850932
Hattiesburg,MS,86.1,31.3271189,-89.2903392
Hickory,NC,89.8,35.7344538,-81.3444573
Hilton Head Island,SC,109.4,32.216316,-80.752608
Houston,TX,95.8,29.7604267,-95.3698028
Huntington,WV,84.3,38.41924960000001,-82.445154
Huntsville,AL,91.3,34.730368799999994,-86.5861037
Huntsville,TX,91.2,30.723526300000003,-95.5507771
Hutchinson,KS,84.0,38.0608445,-97.9297743
Idaho Falls,ID,91.7,43.4916514,-112.0339645
Indianapolis,IN,90.2,39.768403,-86.158068
Iowa City,IA,93.5,41.6611277,-91.5301683
Jackson,MS,87.8,32.298757300000005,-90.1848103
Jackson,TN,85.2,35.6145169,-88.8139469
Jacksonville,FL,99.0,30.3321838,-81.655651
Jacksonville,NC,91.7,34.7540524,-77.43024140000001
Janesville,WI,89.8,42.6827885,-89.01872220000001
Jefferson City,MO,86.3,38.57670170000001,-92.1735164
Johnson City,TN,88.1,36.3134397,-82.35347270000001
Jonesboro,AR,85.2,35.8422967,-90.704279
Joplin,MO,85.2,37.0842271,-94.513281
Kalamazoo,MI,89.3,42.2917069,-85.5872286
Kansas City,MO,91.6,39.0997265,-94.5785667
Kennewick,WA,99.7,46.2112458,-119.1372338
Killeen,TX,88.6,31.1171194,-97.7277959
Kingsport,TN,86.0,36.548434,-82.5618186
